conversietabellen van types IRtc									
T[degC]	K-98.6	K-50	K-80	K-140	K-180	K-240	K-280	K-340	K-440
107.2222222	6.038552597	7.005992306	6.409586781	5.118994226	4.651575221	4.258579884	3.716244526	3.404447179	3.006169328
110	6.282394402	7.296686104	6.671397345	5.318302877	4.828247308	4.416219658	3.847619623	3.520722289	3.1031563
112.7777778	6.531384512	7.593517406	6.938735593	5.521819591	5.008649525	4.577187728	3.981768482	3.639452351	3.202190987
115.5555556	6.785547532	7.896515546	7.211627944	5.729564479	5.192799699	4.7415	4.118704358	3.760649095	3.303283175
118.3333333	7.044907193	8.205708814	7.490099878	5.941556939	5.380715025	4.909171816	4.258440038	3.88432384	3.406442303
121.1111111	7.309486348	8.521124455	7.774175932	6.157815651	5.572412061	5.080217951	4.400987835	4.010487483	3.511677462
123.8888889	7.579306969	8.842788663	8.063879697	6.378358572	5.767906727	5.254652609	4.546359587	4.1391505	3.61899739
126.6666667	7.854390144	9.170726576	8.359233814	6.60320294	5.9672143	5.432489422	4.694566653	4.270322948	3.728410475
129.4444444	8.134756072	9.504962275	8.660259972	6.832365264	6.170349416	5.61374145	4.845619919	4.404014458	3.839924751
132.2222222	8.420424065	9.845518783	8.966978905	7.065861331	6.377326068	5.798421177	4.999529788	4.540234239	3.953547899
135	8.711412546	10.19241806	9.279410395	7.303706198	6.588157603	5.986540513	5.156306186	4.678991076	4.069287247
137.7777778	9.007739049	10.54568102	9.597573265	7.545914196	6.802856725	6.178110793	5.315958559	4.82029333	4.18714977
140.5555556	9.309420218	10.90532749	9.921485389	7.79249893	7.021435494	6.373142778	5.478495876	4.964148938	4.307142086
143.3333333	9.616471811	11.27137626	10.25116368	8.043473281	7.243905326	6.571646656	5.643926626	5.110565413	4.429270464
146.1111111	9.928908699	11.64384506	10.58662412	8.298849404	7.470276997	6.773632039	5.812258822	5.259549848	4.553540819
148.8888889	10.24674487	12.02275058	10.92788171	8.558638733	7.700560643	6.979107973	5.9835	5.411108913	4.679958715
151.6666667	10.56999344	12.40810842	11.27495054	8.822851982	7.934765759	7.188082931	6.157657223	5.565248858	4.808529365
154.4444444	10.89866663	12.79993319	11.62784373	9.091499148	8.17290121	7.40056482	6.33473708	5.721975516	4.939257635
157.2222222	11.2327758	13.19823841	11.98657349	9.364589517	8.414975224	7.616560983	6.514745692	5.881294304	5.072148043
160	11.57233144	13.60303659	12.35115106	9.642131661	8.660995401	7.836078203	6.69768871	6.043210223	5.20720476
162.7777778	11.91734319	14.01433921	12.7215868	9.924133451	8.910968718	8.059122703	6.88357132	6.207727864	5.344431616
165.5555556	12.2678198	14.43215673	13.09789012	10.21060205	9.164901526	8.285700152	7.072398248	6.374851408	5.483832099
168.3333333	12.6237692	14.85649858	13.48006951	10.50154394	9.422799563	8.515815668	7.264173759	6.544584631	5.625409358
171.1111111	12.98519845	15.28737319	13.86813257	10.79696489	9.684667951	8.749473823	7.458901661	6.716930904	5.769166204
173.8888889	13.3521138	15.72478799	14.26208599	11.09686999	9.950511206	8.986678644	7.656585314	6.891893198	5.915105117
176.6666667	13.72452063	16.16874941	14.66193556	11.40126366	10.22033324	9.227433623	7.857227625	7.06947409	6.063228244
179.4444444	14.10242352	16.61926292	15.06768621	11.71014965	10.49413737	9.471741717	8.06083106	7.24967576	6.213537406
182.2222222	14.48582624	17.07633299	15.47934196	12.02353101	10.77192631	9.719605357	8.267397644	7.4325	6.366034096
185	14.87473172	17.53996314	15.89690597	12.34141017	11.05370221	9.971026448	8.476928966	7.617948217	6.520719488
187.7777778	15.26914212	18.01015592	16.32038057	12.66378887	11.33946661	10.22600638	8.689426182	7.806021434	6.677594436
190.5555556	15.6690588	18.48691297	16.7497672	12.99066824	11.62922051	10.48454603	8.904890024	7.9967203	6.83665948
193.3333333	16.07448233	18.97023495	17.18506648	13.32204872	11.92296432	10.74664577	9.123320801	8.190045087	6.997914849
196.1111111	16.4854125	19.46012163	17.62627819	13.65793017	12.22069789	11.01230546	9.344718405	8.385995701	7.161360462
198.8888889	16.90184836	19.95657186	18.07340131	13.99831179	12.52242052	11.28152449	9.569082317	8.58457168	7.326995935
201.6666667	17.32378818	20.4595836	18.52643397	14.34319218	12.82813098	11.55430175	9.796411609	8.785772204	7.494820585
204.4444444	17.7512295	20.96915389	18.98537354	14.69256932	13.13782746	11.83063563	10.02670495	8.989596099	7.664833431
207.2222222	18.18416912	21.48527893	19.45021658	15.0464406	13.45150766	12.11052408	10.25996063	9.196041839	7.8370332
210	18.62260311	22.00795404	19.92095887	15.40480281	13.76916873	12.39396455	10.49617651	9.405107551	8.011418331
212.7777778	19.06652684	22.53717369	20.39759544	15.76765215	14.0908073	12.68095404	10.73535011	9.616791023	8.187986979
215.5555556	19.51593495	23.07293149	20.88012054	16.13498426	14.41641951	12.9714891	10.97747855	9.831089707	8.366737018
218.3333333	19.97082142	23.61522027	21.36852769	16.50679421	14.74600098	13.26556583	11.22255856	10.04800072	8.547666046
221.1111111	20.43117951	24.164032	21.86280968	16.88307649	15.07954685	13.56317987	11.47058654	10.26752087	8.73077139
223.8888889	20.89700184	24.71935787	22.36295857	17.26382507	15.41705174	13.86432646	11.72155849	10.48964661	8.916050109
226.6666667	21.36828036	25.28118828	22.86896571	17.64903336	15.75850984	14.16900038	11.97547008	10.71437412	9.103499
229.4444444	21.84500635	25.84951285	23.38082174	18.03869425	16.10391482	14.477196	12.23231662	10.94169924	9.2931146
232.2222222	22.32717047	26.42432043	23.89851665	18.43280009	16.45325993	14.78890729	12.49209307	11.17161751	9.484893192
235	22.81476275	27.00559915	24.42203972	18.83134275	16.80653793	15.1041278	12.75479405	11.40412418	9.678830811
237.7777778	23.3077726	27.59333638	24.95137958	19.23431355	17.16374116	15.42285068	13.02041388	11.6392142	9.874923242
240.5555556	23.80618883	28.18751876	25.48652421	19.64170335	17.52486149	15.74506869	13.2889465	11.87688223	10.07316603
243.3333333	24.30999963	28.78813224	26.02746095	20.05350252	17.88989039	16.0707742	13.56038557	12.11712264	10.2735545
246.1111111	24.81919264	29.39516207	26.57417651	20.46970093	18.25881889	16.39995923	13.83472442	12.35992955	10.47608371
248.8888889	25.33375492	30.00859282	27.126657	20.89028801	18.63163762	16.7326154	14.11195608	12.60529676	10.68074852
251.6666667	25.85367294	30.62840838	27.6848879	21.31525271	19.00833677	17.06873397	14.39207327	12.85321785	10.88754355
254.4444444	26.37893265	31.25459199	28.24885412	21.74458354	19.38890617	17.40830586	14.67506841	13.1036861	11.09646322
257.2222222	26.90951947	31.88712625	28.81854	22.17826858	19.77333524	17.75132164	14.96093364	13.35669456	11.30750172
260	27.44541825	32.52599312	29.39392929	22.61629545	20.16161303	18.09777151	15.24966081	13.61223602	11.52065303
262.7777778	27.98661337	33.17117397	29.97500519	23.05865138	20.5537282	18.44764538	15.5412415	13.87030301	11.73591093
265.5555556	28.53308866	33.82264954	30.56175038	23.50532317	20.94966904	18.8009328	15.835667	14.13088784	11.953269
268.3333333	29.08482751	34.4804	31.15414699	23.95629721	21.34942352	19.15762302	16.13292835	14.39398258	12.17272062
271.1111111	29.64181277	35.14440493	31.75217662	24.41155951	21.75297921	19.51770496	16.43301632	14.65957904	12.39425898
273.8888889	30.20402685	35.81464336	32.35582039	24.87109569	22.16032337	19.88116726	16.73592143	14.92766886	12.61787708
276.6666667	30.7714517	36.49109375	32.96505891	25.33489098	22.57144292	20.24799823	17.04163396	15.19824341	12.84356774
279.4444444	31.34406882	37.17373405	33.57987231	25.80293027	22.98632444	20.61818591	17.35014393	15.47129387	13.0713236
282.2222222	31.92185924	37.86254166	34.20024024	26.27519805	23.40495421	20.99171805	17.66144114	15.74681121	13.30113712
285	32.5048036	38.5574935	34.8261419	26.75167851	23.8273182	21.36858213	17.97551514	16.02478619	13.5330006
287.7777778	33.0928821	39.25856595	35.45755604	27.23235545	24.25340205	21.74876534	18.29235527	16.30520936	13.76690615
290.5555556	33.68607454	39.96573494	36.09446097	27.71721236	24.68319113	22.13225464	18.61195065	16.58807109	14.00284575
293.3333333	34.28436032	40.67897591	36.73683457	28.20623241	25.11667052	22.5190367	18.93429018	16.87336157	14.24081121
296.1111111	34.88771845	41.39826383	37.3846543	28.69939844	25.55382501	22.90909795	19.25936255	17.16107078	14.48079417
298.8888889	35.49612758	42.12357326	38.03789723	29.196693	25.99463913	23.30242459	19.58715625	17.45118854	14.72278614
301.6666667	36.10956596	42.85487827	38.69654004	29.69809831	26.43909712	23.69900256	19.91765957	17.74370448	14.96677847
304.4444444	36.72801153	43.59215254	39.360559	30.20359634	26.887183	24.09881759	20.25086063	18.03860808	15.21276239
307.2222222	37.35144184	44.33536934	40.02993003	30.71316874	27.3388805	24.50185518	20.58674732	18.33588864	15.46072897
310	37.97983413	45.08450151	40.70462869	31.22679691	27.79417313	24.90810061	20.92530738	18.6355353	15.71066915
312.7777778	38.6131653	45.83952152	41.38463019	31.74446196	28.25304415	25.31753895	21.26652838	18.93753705	15.96257375
315.5555556	39.25141195	46.60040147	42.06990937	32.26614477	28.71547662	25.73015506	21.6103977	19.24188273	16.21643346
318.3333333	39.89455035	47.36711309	42.76044079	32.79182595	29.18145333	26.14593361	21.95690256	19.54856102	16.47223884
321.1111111	40.54255649	48.13962773	43.45619865	33.32148587	29.6509569	26.56485907	22.30603001	19.85756047	16.72998034
323.8888889	41.19540606	48.91791644	44.15715686	33.85510465	30.1239697	26.98691574	22.65776698	20.1688695	16.9896483
326.6666667	41.85307449	49.70194989	44.86328903	34.39266222	30.60047394	27.41208772	23.0121002	20.48247639	17.25123293
329.4444444	42.51553691	50.49169846	45.57456846	34.93413824	31.08045159	27.84035893	23.3690163	20.79836927	17.51472436
332.2222222	43.18276821	51.28713221	46.29096819	35.4795122	31.56388447	28.27171316	23.72850173	21.11653618	17.78011258
335	43.85474303	52.0882209	47.01246099	36.02876337	32.0507542	28.70613398	24.09054284	21.43696502	18.04738752
